Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/31/2020 23:59,5806,204,141
Zhejiang,China,1/31/2020 23:59,538,,14
Guangdong,China,1/31/2020 23:59,436,,11
Henan,China,1/31/2020 23:59,352,2,3
Hunan,China,1/31/2020 23:59,332,,2
Jiangxi,China,1/31/2020 23:59,240,,7
Anhui,China,1/31/2020 23:59,237,,3
Chongqing,China,1/31/2020 23:59,211,,1
Shandong,China,1/31/2020 23:59,184,,2
Sichuan,China,1/31/2020 23:59,177,1,1
Jiangsu,China,1/31/2020 23:59,168,,5
Beijing,China,1/31/2020 23:59,139,1,5
Shanghai,China,1/31/2020 23:59,135,1,9
Fujian,China,1/31/2020 23:59,120,,
Guangxi,China,1/31/2020 23:59,87,,2
Shaanxi,China,1/31/2020 23:59,87,,
Yunnan,China,1/31/2020 23:59,83,,1
Hebei,China,1/31/2020 23:59,82,1,
Heilongjiang,China,1/31/2020 23:59,59,2,
Hainan,China,1/31/2020 23:59,52,1,1
Liaoning,China,1/31/2020 23:59,48,,1
Shanxi,China,1/31/2020 23:59,39,,1
Tianjin,China,1/31/2020 23:59,32,,
Guizhou,China,1/31/2020 23:59,29,,2
Gansu,China,1/31/2020 23:59,29,,
Ningxia,China,1/31/2020 23:59,21,,
Inner Mongolia,China,1/31/2020 23:59,20,,1
Xinjiang,China,1/31/2020 23:59,17,,
Jilin,China,1/31/2020 23:59,14,,1
Hong Kong,Hong Kong,1/31/2020 23:59,12,,
Taiwan,Taiwan,1/31/2020 23:59,10,,
Qinghai,China,1/31/2020 23:59,8,,
Macau,Macau,1/31/2020 23:59,7,,
Tibet,China,1/31/2020 23:59,1,,
,Thailand,1/31/2020 23:59,19,,5
,Japan,1/31/2020 23:59,15,,1
,Singapore,1/31/2020 23:59,13,,
,South Korea,1/31/2020 23:59,11,,
,Malaysia,1/31/2020 23:59,8,,
,France,1/31/2020 23:59,5,,
Bavaria,Germany,1/31/2020 23:59,5,,
New South Wales,Australia,1/31/2020 23:59,4,,2
,United Arab Emirates,1/31/2020 23:59,4,,
Victoria,Australia,1/31/2020 23:59,3,,
Illinois,US,1/31/2020 23:59,2,,
California,US,1/31/2020 23:59,2,,
,Vietnam,1/31/2020 23:59,2,,
Ontario,Canada,1/31/2020 23:59,2,,
Queensland,Australia,1/31/2020 23:59,2,,
,Italy,1/31/2020 23:59,2,,
,UK,1/31/2020 23:59,2,,
,Russia,1/31/2020 23:59,2,,
Washington,US,1/31/2020 23:59,1,,
Arizona,US,1/31/2020 23:59,1,,
,Nepal,1/31/2020 23:59,1,,
British Columbia,Canada,1/31/2020 23:59,1,,
,Cambodia,1/31/2020 23:59,1,,
,Sri Lanka,1/31/2020 23:59,1,,
,Finland,1/31/2020 23:59,1,,
,Philippines,1/31/2020 23:59,1,,
,India,1/31/2020 23:59,1,,
,Sweden,1/31/2020 23:59,1,,
