Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/30/20 16:00,4903,162,90
Zhejiang,China,1/30/20 16:00,428,,4
Guangdong,China,1/30/20 16:00,354,,10
Henan,China,1/30/20 16:00,278,2,2
Hunan,China,1/30/20 16:00,277,,2
Anhui,China,1/30/20 16:00,200,,2
Chongqing,China,1/30/20 16:00,182,,1
Jiangxi,China,1/30/20 16:00,162,,5
Shandong,China,1/30/20 16:00,158,,1
Sichuan,China,1/30/20 16:00,142,1,1
Jiangsu,China,1/30/20 16:00,129,,1
Beijing,China,1/30/20 16:00,114,1,4
Shanghai,China,1/30/20 16:00,112,1,5
Fujian,China,1/30/20 16:00,101,,
Guangxi,China,1/30/20 16:00,78,,2
Yunnan,China,1/30/20 16:00,70,,
Hebei,China,1/30/20 16:00,65,1,
Shaanxi,China,1/30/20 16:00,63,,
Hainan,China,1/30/20 16:00,46,1,1
Heilongjiang,China,1/30/20 16:00,44,2,
Liaoning,China,1/30/20 16:00,41,,1
Shanxi,China,1/30/20 16:00,35,,1
Tianjin,China,1/30/20 16:00,31,,
Gansu,China,1/30/20 16:00,26,,
Inner Mongolia,China,1/30/20 16:00,19,,
Ningxia,China,1/30/20 16:00,17,,
Jilin,China,1/30/20 16:00,14,,1
Xinjiang,China,1/30/20 16:00,14,,
Guizhou,China,1/30/20 16:00,12,,1
Hong Kong,Hong Kong,1/30/20 16:00,10,,
Taiwan,Taiwan,1/30/20 16:00,9,,
Qinghai,China,1/30/20 16:00,8,,
Macau,Macau,1/30/20 16:00,7,,
Tibet,China,1/30/20 16:00,1,,
Washington,US,1/30/20 16:00,1,,
Illinois,US,1/30/20 16:00,1,,
California,US,1/30/20 16:00,2,,
Arizona,US,1/30/20 16:00,1,,
,Japan,1/30/20 16:00,11,,1
,Thailand,1/30/20 16:00,14,,5
,South Korea,1/30/20 16:00,4,,
,Singapore,1/30/20 16:00,10,,
,Vietnam,1/30/20 16:00,2,,
,France,1/30/20 16:00,5,,
,Nepal,1/30/20 16:00,1,,
,Malaysia,1/30/20 16:00,8,,
Ontario,Canada,1/30/20 16:00,2,,
British Columbia,Canada,1/30/20 16:00,1,,
,Cambodia,1/30/20 16:00,1,,
,Sri Lanka,1/30/20 16:00,1,,
New South Wales,Australia,1/30/20 16:00,4,,2
Victoria,Australia,1/30/20 16:00,2,,
Queensland,Australia,1/30/20 16:00,3,,
Bavaria,Germany,1/30/20 16:00,4,,
,Finland,1/30/20 16:00,1,,
,United Arab Emirates,1/30/20 16:00,4,,
,Philippines,1/30/20 16:00,1,,
,India,1/30/20 16:00,1,,
