Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/24/20 17:00,549,24,31
Guangdong,China,1/24/20 17:00,53,,2
Zhejiang,China,1/24/20 17:00,43,,1
Beijing,China,1/24/20 17:00,36,,1
Chongqing,China,1/24/20 17:00,27,,
Hunan,China,1/24/20 17:00,24,,
Guangxi,China,1/24/20 17:00,23,,
Shanghai,China,1/24/20 17:00,20,,1
Jiangxi,China,1/24/20 17:00,18,,
Sichuan,China,1/24/20 17:00,15,,
Shandong,China,1/24/20 17:00,15,,
Anhui,China,1/24/20 17:00,15,,
Fujian,China,1/24/20 17:00,10,,
Henan,China,1/24/20 17:00,9,,
Jiangsu,China,1/24/20 17:00,9,,
Hainan,China,1/24/20 17:00,8,,
Tianjin,China,1/24/20 17:00,8,,
Yunnan,China,1/24/20 17:00,5,,
Shaanxi,China,1/24/20 17:00,5,,
Heilongjiang,China,1/24/20 17:00,4,1,
Liaoning,China,1/24/20 17:00,4,,
Guizhou,China,1/24/20 17:00,3,,
Jilin,China,1/24/20 17:00,3,,
Taiwan,Taiwan,1/24/20 17:00,3,,
Ningxia,China,1/24/20 17:00,2,,
Hong Kong,Hong Kong,1/24/20 17:00,2,,
Macau,Macau,1/24/20 17:00,2,,
Hebei,China,1/24/20 17:00,2,1,
Gansu,China,1/24/20 17:00,2,,
Xinjiang,China,1/24/20 17:00,2,,
Shanxi,China,1/24/20 17:00,1,,
Inner Mongolia,China,1/24/20 17:00,1,,
Qinghai,China,1/24/20 17:00,,,
Washington,US,1/24/20 17:00,1,,
Chicago,US,1/24/20 17:00,1,,
,Japan,1/24/20 17:00,2,,
,Thailand,1/24/20 17:00,5,,
,South Korea,1/24/20 17:00,2,,
,Singapore,1/24/20 17:00,3,,
,Vietnam,1/24/20 17:00,2,,
,France,1/24/20 17:00,2,,
